"GEOID","NAME.x","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65","Low","Mid","High","LowPerCap","MidPerCap","HighPerCap","ZIP_CODE","PO_NAME","STATE","ZIP_TYPE","zip_join_type","percentile"
"49663","ZCTA5 49663",6243,6243,236,397,0.962197661380746,0.936408777831171,0.0378023386192535,0.0635912221688291,0.0067275348390197,0.00224251161300657,0.00897004645202627,0.0299535479737306,1075,0.174484661580912,18833,5689,0.943223765160837,0.0567762348391633,0.0107224468272104,0.266538523145923,0.197821560147365,0.399967964119814,0.135671952586897,2387713.94,3137713.94,3887713.94,382.462588499119,502.597139195899,622.73168989268,"49663","Manton","MI","Zip Code Area","Zip Matches ZCTA",29
"49808","ZCTA5 49808",234,234,11,11,0.952991452991453,0.952991452991453,0.0470085470085471,0.0470085470085471,0.0128205128205128,0,0,0,33,0.149321266968326,34507,209,1,0,0,0.132478632478632,0.179487179487179,0.534188034188034,0.153846153846154,203710.3,303710.3,403710.3,870.556837606838,1297.90726495726,1725.25769230769,"49808","Big Bay","MI","Post Office or large volume customer","Zip Matches ZCTA",60
"49814","ZCTA5 49814",1411,1411,66,76,0.95322466335932,0.946137491141035,0.0467753366406803,0.0538625088589653,0,0.00141743444365698,0.0205527994330262,0.0106307583274274,191,0.135460992907801,24740,1294,0.968315301391035,0.0316846986089645,0.00618238021638331,0.208362863217576,0.162296243798724,0.398299078667612,0.231041814316088,182514.5,182514.5,182514.5,129.351169383416,129.351169383416,129.351169383416,"49814","Champion","MI","Zip Code Area","Zip Matches ZCTA",8
"49862","ZCTA5 49862",5155,5155,1046,1123,0.797090203685742,0.782153249272551,0.202909796314258,0.217846750727449,0.130358874878758,0.00155189136760427,0.0384093113482056,0.0170708050436469,473,0.114694471387003,18764,5051,0.980993862601465,0.019006137398535,0.00197980597901406,0.147623666343356,0.243840931134821,0.406789524733269,0.201745877788555,4576337.6,6151337.6,7726337.6,887.747352085354,1193.27596508244,1498.80457807953,"49862","Munising","MI","Zip Code Area","Zip Matches ZCTA",57
"49866","ZCTA5 49866",8092,8092,330,371,0.959218981710331,0.954152249134948,0.0407810182896688,0.0458477508650519,0.00457241720217499,0.00222441917943648,0.00753830944142363,0.0055610479485912,739,0.0930496096701083,27157,7549,0.967810306000795,0.0321896939992052,0.00490131143197775,0.255931784478497,0.199456253089471,0.382229362333169,0.162382600098863,5308559.12,7333559.12,9358559.12,656.025595650025,906.272753336629,1156.51991102323,"49866","Negaunee","MI","Zip Code Area","Zip Matches ZCTA",47
"49733","ZCTA5 49733",2217,2217,118,176,0.946774921064502,0.920613441587731,0.0532250789354984,0.0793865584122688,0,0,0.0099233198015336,0.0329273793414524,377,0.170975056689342,22311,2143,0.987400839944004,0.0125991600559963,0.00373308446103593,0.229589535408209,0.165990076680198,0.386558412268832,0.21786197564276,338111.82,438111.82,538111.82,152.508714479026,197.614713576906,242.720712674786,"49733","Frederic","MI","Zip Code Area","Zip Matches ZCTA",12
"49406","ZCTA5 49406",740,740,4,4,0.994594594594595,0.994594594594595,0.00540540540540535,0.00540540540540535,0,0.00135135135135135,0.0027027027027027,0.00405405405405405,64,0.0864864864864865,48505,790,0.994936708860759,0.00506329113924053,0.00506329113924051,0.113513513513514,0.0554054054054054,0.648648648648649,0.182432432432432,2206706.81,2931706.81,3656706.81,2982.03622972973,3961.76595945946,4941.49568918919,"49406","Douglas","MI","Zip Code Area","Zip Matches ZCTA",91
"49791","ZCTA5 49791",360,360,28,28,0.922222222222222,0.922222222222222,0.0777777777777777,0.0777777777777777,0,0,0.0138888888888889,0.0138888888888889,73,0.20391061452514,25682,316,0.990506329113924,0.009493670886076,0,0.227777777777778,0.225,0.383333333333333,0.163888888888889,124194,124194,124194,344.983333333333,344.983333333333,344.983333333333,"49791","Topinabee","MI","Post Office or large volume customer","Zip Matches ZCTA",21
"49099","ZCTA5 49099",5477,5477,135,369,0.975351469782728,0.932627350739456,0.0246485302172722,0.0673726492605441,0.000547745115939383,0.00346905240094942,0.00273872557969691,0.0503925506664232,947,0.175467852510654,24006,5504,0.991460755813954,0.00853924418604646,0.00163517441860465,0.203943764834764,0.223662589008581,0.368815044732518,0.203578601424137,5350674.1,7925674.1,10500674.1,976.935201752784,1447.08309293409,1917.23098411539,"49099","White Pigeon","MI","Zip Code Area","Zip Matches ZCTA",64
"48211","ZCTA5 48211",6318,6318,4119,4141,0.348053181386515,0.344571066793289,0.651946818613485,0.655428933206711,0.571066793289016,0.0134536245647357,0.00253244697689142,0.00870528648306426,2379,0.422332682407243,12147,6313,0.736416917471883,0.263583082528117,0.00696974497069539,0.271288382399493,0.259892371003482,0.384931940487496,0.0838873061095283,15206976.54,23206976.54,31206976.54,2406.92886039886,3673.15234884457,4939.37583729028,"48211","Detroit","MI","Zip Code Area","Zip Matches ZCTA",90
